Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem,References
r_1112,"AKG transporter, mitochonrial",s_0180 + s_0524  -> s_0182 + s_0522 ,YMR241W,0,Inf,0,,20371607
r_1113,allantoate uniport,s_0406  -> s_0405 ,YJR152W,0,Inf,0,,
r_1114,allantoin uniport,s_0408  -> s_0407 ,YIR028W,0,Inf,0,,
r_1115,ammonia transport,s_0420  -> s_0419 ,YDR384C or YGR121C or YNL142W or YPR138C,0,Inf,0,,12966084
r_1116,AMP/ATP transporter,s_0426 + s_0434 + s_0801  -> s_0423 + s_0439 + s_0794 ,YPR128C,0,Inf,0,,
r_1118,aspartate-glutamate transporter,s_0975 + s_0991  -> s_0973 + s_0993 ,YPR021C,0,Inf,0,,14622413
r_1119,biotin uptake,s_0452 + s_0796  -> s_0451 + s_0794 ,YGR065C,0,Inf,0,,
r_1120,carnithine-acetylcarnithine carrier,s_0023 + s_1235  -> s_0021 + s_1236 ,YOR100C,0,Inf,0,,
r_1121,ceramide-2' (sphinganine:n-C24:0OH) transport,s_0487  -> s_0488 ,,0,Inf,0,,12484746
r_1122,ceramide-2' (sphinganine:n-C26:0OH) transport,s_0490  -> s_0491 ,,0,Inf,0,,12484746
r_1123,ceramide-3 (Phytosphingosine:n-C24:0OH) transport,s_0493  -> s_0494 ,,0,Inf,0,,12484746
r_1124,ceramide-3 (Phytosphingosine:n-C26:0OH) transport,s_0496  -> s_0497 ,,0,Inf,0,,12484746
r_1125,choline transport,s_0513 + s_0796  -> s_0512 + s_0794 ,YGL077C,0,Inf,0,,
r_1126,citrate transport,s_0068 + s_0522  -> s_0066 + s_0524 ,YBR291C,0,Inf,0,,
r_1127,citrate transport,s_0522 + s_1361  -> s_0524 + s_1360 ,YBR291C,0,Inf,0,,
r_1128,citrate transport,s_0522 + s_0941  -> s_0524 + s_0940 ,YBR291C,0,Inf,0,,
r_1129,coenzyme A transport,s_0529  -> s_0532 ,YHR002W,0,Inf,0,,11158296
r_1130,CTP transport,s_0528 + s_0539 + s_0794  -> s_0526 + s_0541 + s_0799 ,YBR192W,0,Inf,0,,16844075
r_1131,CTP/CMP antiport,s_0528 + s_0539 + 2 s_0794  -> s_0526 + s_0541 + 2 s_0799 ,YBR192W,0,Inf,0,,16194150
r_1132,cytidine transport,s_0544 + s_0796  -> s_0543 + s_0794 ,YAL022C,0,Inf,0,,10827170
r_1133,cytosine transport,s_0546 + s_0796  -> s_0545 + s_0794 ,YER056C or YER060W or YER060W-A or YGL186C,0,Inf,0,,
r_1134,D-fructose transport,s_0554 + s_0796  -> s_0553 + s_0794 ,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W,0,Inf,0,sce04113  Meiosis - yeast,
r_1135,D-galactose transport,s_0559 + s_0796  -> s_0558 + s_0794 ,YDR536W or YFL011W or YJL219W or YLR081W or YNL318C or YOL156W,0,Inf,0,sce04113  Meiosis - yeast,
r_1136,D-lactate transport,s_0026 + s_0796  -> s_0025 + s_0794 ,YKL217W,0,Inf,0,,
r_1137,D-lactate transport,s_0025 + s_0794  -> s_0027 + s_0799 ,,0,Inf,0,,14871487
r_1138,D-lactate/pyruvate antiport,s_0025 + s_1401  -> s_0027 + s_1399 ,,0,Inf,0,,14871487
r_1139,D-mannose transport,s_0572 + s_0796  -> s_0571 + s_0794 ,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W,0,Inf,0,sce04113  Meiosis - yeast,
r_1146,episterol transport,s_0659  -> s_0657 ,YIL013C or YOR011W,0,Inf,0,,12077145
r_1147,ergosterol transport,s_0668  -> s_0666 ,YIL013C or YOR011W,0,Inf,0,,12077145
r_1148,ergosterol transport,s_0665  -> s_0666 ,YIL013C or YOR011W,0,Inf,0,,17434796
r_1149,ethanolamine transport,s_0684  -> s_0683 ,YGL077C,0,Inf,0,,15201274
r_1151,fadH2 transport,s_0690  -> s_0689 ,YIL134W,0,Inf,0,,8631763
r_1161,fecosterol transport,s_0702  -> s_0700 ,YIL013C or YOR011W,0,Inf,0,,12077145
r_1162,fecosterol transport,s_0699  -> s_0700 ,YIL013C or YOR011W,0,Inf,0,,17434796
r_1164,folic acid transport,s_0720  -> s_0719 ,,0,Inf,0,,15215118
r_1165,GDP-mannose antiport,s_0743 + s_0783  -> s_0744 + s_0782 ,YGL225W,0,Inf,0,,9395539
r_1166,glucose transport,s_0565  -> s_0563 ,YDL245C or YDL247W or YDR342C or YDR343C or YDR345C or YDR536W or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YJR160C or YLR081W or YMR011W or YNR072W or YOL156W or YDR387C,0,Inf,0,sce04113  Meiosis - yeast,10618490
r_1167,glutathione transport,s_0751  -> s_0750 ,YJL212C,0,Inf,0,,10788431
r_1169,glycero-3-phospho-1-inositol transport,s_0080  -> s_0079 ,YCR098C,0,Inf,0,,15145930
r_1170,glycero-3-phosphocholine transport,s_1435  -> s_1433 ,YCR098C,0,Inf,0,,15145930
r_1171,glycerol transport,s_0766 + s_0796  -> s_0765 + s_0794 ,YDR536W or YGL084C or YPL189W,0,Inf,0,,15703210; 21623372
r_1172,glycerol transport via channel,s_0765  -> s_0766 ,YFL054C or YLL043W,0,Inf,0,,
r_1173,glycine transport,s_0796 + s_1004  -> s_0794 + s_1003 ,YCL025C or YKR039W or YOL020W or YOR348C or YPL265W,0,Inf,0,,9573211
r_1174,glycogen vacuolar 'transport' via autophagy,s_0773  -> s_0774 ,,0,Inf,0,,11486014
r_1175,GTP/GDP translocase,s_0741 + s_0785 + s_0794  -> s_0739 + s_0786 + s_0799 ,YDL198C,0,Inf,0,,14998997
r_1176,guanine transport,s_0788 + s_0796  -> s_0787 + s_0794 ,YER056C or YER060W or YER060W-A or YGL186C,0,Inf,0,,
r_1177,inositol transport,s_0796 + s_1154  -> s_0794 + s_1153 ,YDR497C or YOL103W,0,Inf,0,,
r_1179,iron (II) transport,s_0924  -> s_0926 ,YJL133W or YKR052C,0,Inf,0,,9660806
r_1180,isoamyl acetate transport,s_0927  -> s_0928 ,,0,Inf,0,,10653746
r_1181,isobutyl acetate transport,s_0935  -> s_0936 ,,0,Inf,0,,10653746
r_1182,isopentenyl diphosphate transport,s_0943  -> s_0945 ,,0,Inf,0,,11583838
r_1183,L-alanine transport,s_0796 + s_0956  -> s_0794 + s_0955 ,YBR068C or YCL025C or YDR046C or YKR039W or YOL020W or YOR348C or YPL265W,0,Inf,0,,7495881; 9489675
r_1184,L-arganine transport,s_0796 + s_0966  -> s_0794 + s_0965 ,YEL063C or YKR039W or YNL270C,0,Inf,0,,
r_1185,L-arganine transport,s_0802 + s_0965  -> s_0794 + s_0968 ,YOL092W or YBR293W,0,Inf,0,,15572352
r_1186,L-asparagine transport,s_0796 + s_0970  -> s_0794 + s_0969 ,YCL025C or YDR508C or YKR039W or YPL265W,0,Inf,0,,8660458
r_1187,L-asparagine transport,s_0802 + s_0969  -> s_0794 + s_0972 ,YJR001W,0,Inf,0,,11274162
r_1188,L-aspartate transport,s_0802 + s_0972  -> s_0794 + s_0969 ,YKL146W or YNL101W,0,Inf,0,sce04138  Autophagy - yeast,11274162
r_1189,L-aspartate transport,s_0802 + s_0977  -> s_0794 + s_0973 ,YER119C,0,Inf,0,,11274162
r_1190,L-aspartate transport,s_0796 + s_0974  -> s_0794 + s_0973 ,YFL055W or YKR039W or YPL265W,0,Inf,0,,
r_1191,L-carnitine transport,s_0022  -> s_0021 ,YBR132C,0,Inf,0,,
r_1192,L-cystine transport,s_0796 + s_0982  -> s_0794 + s_0981 ,YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W or YOL020W,0,Inf,0,,9573211
r_1193,L-cystine transport,s_0802 + s_0985  -> s_0794 + s_0984 ,YCR075C,0,Inf,0,,11689434
r_1194,L-glutamate transport,s_0991  -> s_0993 ,YPR021C,0,Inf,0,,14622413
r_1195,L-glutamate transport,s_0802 + s_0996  -> s_0794 + s_0991 ,YER119C,0,Inf,0,,11274162
r_1196,L-glutamate transport,s_0796 + s_0992  -> s_0794 + s_0991 ,YCL025C or YFL055W or YKR039W or YPL265W,0,Inf,0,,
r_1197,L-glutamine transport,s_0802 + s_0999  -> s_0794 + s_1002 ,YJR001W,0,Inf,0,,11274162
r_1198,L-glutamine transport,s_0802 + s_1002  -> s_0794 + s_0999 ,YKL146W or YNL101W,0,Inf,0,sce04138  Autophagy - yeast,11274162
r_1199,L-glutamine transport,s_0796 + s_1000  -> s_0794 + s_0999 ,YCL025C or YDR508C or YKR039W or YPL265W,0,Inf,0,,
r_1200,"L-histidine transport, vacuolar",s_0802 + s_1006  -> s_0794 + s_1009 ,YOL092W or YBR293W or YCL069W or YMR088C,0,Inf,0,,15572352
r_1201,L-histidine transport,s_0796 + s_1007  -> s_0794 + s_1006 ,YBR069C or YGR191W or YKR039W,0,Inf,0,,
r_1202,L-isoleucine transport,s_1019  -> s_1016 ,YCL038C,0,Inf,0,sce04138  Autophagy - yeast,17021250
r_1203,L-isoleucine transport,s_0802 + s_1016  -> s_0794 + s_1019 ,YJR001W,0,Inf,0,,11274162
r_1204,L-isoleucine transport,s_0802 + s_1019  -> s_0794 + s_1016 ,YKL146W or YNL101W,0,Inf,0,sce04138  Autophagy - yeast,11274162
r_1205,L-isoleucine transport,s_0796 + s_1017  -> s_0794 + s_1016 ,YBR068C or YBR069C or YCL025C or YDR046C or YKR039W,0,Inf,0,,
r_1206,L-lactate transport,s_0063  -> s_0065 ,YKL217W,0,Inf,0,,17761666
r_1207,L-lactate transport,s_0064 + s_0796  -> s_0063 + s_0794 ,YKL217W,0,Inf,0,,10198029
r_1208,"L-leucine transport, vacuoluar",s_1024  -> s_1021 ,YCL038C,0,Inf,0,sce04138  Autophagy - yeast,17021250
r_1209,"L-leucine transport, vacuoluar",s_0802 + s_1021  -> s_0794 + s_1024 ,YJR001W,0,Inf,0,,11274162
r_1210,"L-leucine transport, vacuoluar",s_0802 + s_1024  -> s_0794 + s_1021 ,YKL146W or YNL101W,0,Inf,0,sce04138  Autophagy - yeast,11274162
r_1211,L-leucine transport,s_0796 + s_1022  -> s_0794 + s_1021 ,YBR068C or YBR069C or YCL025C or YDR046C or YDR508C or YKR039W,0,Inf,0,,
r_1212,L-lysine transport,s_0802 + s_1025  -> s_0794 + s_1028 ,YOL092W or YBR293W or YCL069W or YMR088C,0,Inf,0,,15572352
r_1213,L-lysine transport,s_0796 + s_1026  -> s_0794 + s_1025 ,YKR039W or YNL268W,0,Inf,0,,
r_1214,L-methionine transport,s_0796 + s_1030  -> s_0794 + s_1029 ,YBR068C or YCL025C or YDR046C or YDR508C or YGR055W or YHL036W or YKR039W,0,Inf,0,,
r_1215,L-phenylalanine transport,s_0796 + s_1033  -> s_0794 + s_1032 ,YBR068C or YCL025C or YDR046C or YKR039W or YOL020W,0,Inf,0,,
r_1216,L-proline transport,s_0796 + s_1036  -> s_0794 + s_1035 ,YKR039W or YOR348C,0,Inf,0,,
r_1217,L-serine transport,s_0796 + s_1041  -> s_0794 + s_1039 ,YCL025C or YDR508C or YFL055W or YKR039W or YPL265W or YDR105C,0,Inf,0,,
r_1218,L-threonine transport,s_0796 + s_1046  -> s_0794 + s_1045 ,YBR069C or YCL025C or YDR046C or YDR508C or YKR039W,0,Inf,0,,9489675
r_1219,L-tryptophan transport,s_0796 + s_1049  -> s_0794 + s_1048 ,YBR068C or YBR069C or YDR046C or YKR039W or YOL020W,0,Inf,0,,9573211
r_1220,L-tyrosine transport,s_1055  -> s_1051 ,YCL038C,0,Inf,0,sce04138  Autophagy - yeast,17021250
r_1221,L-tyrosine transport,s_0802 + s_1051  -> s_0794 + s_1055 ,YBR293W or YJR001W,0,Inf,0,,15572352
r_1222,L-tyrosine transport,s_0802 + s_1055  -> s_0794 + s_1051 ,YKL146W or YNL101W,0,Inf,0,sce04138  Autophagy - yeast,11274162
r_1223,L-tyrosine transport,s_0796 + s_1052  -> s_0794 + s_1051 ,YBR068C or YBR069C or YCL025C or YDR046C or YKR039W or YOL020W,0,Inf,0,,
r_1224,L-valine transport,s_0796 + s_1057  -> s_0794 + s_1056 ,YBR068C or YBR069C or YCL025C or YDR046C or YKR039W,0,Inf,0,,
r_1225,lanosterol transport,s_1061  -> s_1059 ,YIL013C or YOR011W,0,Inf,0,,12077145
r_1226,malate transport,s_0066 + s_1326  -> s_0068 + s_1322 ,YLR348C,0,Inf,0,,
r_1227,maltose transport,s_0796 + s_1106  -> s_0794 + s_1105 ,YBR298C or YDL247W or YGR289C or YJR160C,0,Inf,0,,7483839
r_1228,"N,N'-diformyldityrosine transport",s_1185  -> s_1186 ,YBR180W,0,Inf,0,,12455697
r_1229,NAD transport,s_1198  -> s_1200 ,YEL006W or YIL006W,0,Inf,0,,16291748; 9169870
r_1230,NAD transport,s_0585 + s_1198  -> s_0584 + s_1200 ,YIL006W,0,Inf,0,,16291748
r_1231,NAD transport,s_0424 + s_1198  -> s_0423 + s_1200 ,YIL006W,0,Inf,0,,16291748
r_1232,NAD transport,s_0616 + s_1198  -> s_0615 + s_1200 ,YIL006W,0,Inf,0,,16291748
r_1235,nicotinate transport,s_1220  -> s_1219 ,YGR260W,0,Inf,0,,10869563
r_1236,octadecanoate (n-C18:0) transport,s_1449  -> s_1451 ,YKL188C and YPL147W,0,Inf,0,,8993619
r_1237,ornithine transport,s_0794 + s_1268  -> s_0799 + s_1266 ,YOR130C,0,Inf,0,,10428783
r_1238,orntithine transport,s_0796 + s_1267  -> s_0794 + s_1266 ,YEL063C or YKR039W,0,Inf,0,,
r_1239,oxaloacetate transport,s_0794 + s_1271  -> s_0799 + s_1273 ,YKL120W,0,Inf,0,,
r_1241,pantothenate transport,s_0032 + s_0796  -> s_0031 + s_0794 ,YCR028C,0,Inf,0,,
r_1242,pentaprenyl diphosphate transport,s_1311  -> s_1313 ,,0,Inf,0,,11583838
r_1243,phenethyl acetate transport,s_1316  -> s_1317 ,,0,Inf,0,,10653746
r_1244,phosphate transport,s_0796 + s_1324  -> s_0794 + s_1322 ,YBR296C or YCR037C or YJL198W or YML123C or YNR013C,0,Inf,0,,
r_1245,phosphate transport,s_0794 + s_1322  -> s_0799 + s_1326 ,YER053C or YJR077C,0,Inf,0,,
r_1249,potassium transport,s_0796 + s_1374  -> s_0794 + s_1373 ,YDR456W or YJL129C,0,Inf,0,,3043197
r_1251,putrescine transport,s_0794 + s_1390  -> s_0796 + s_1389 ,YLL028W or YOR273C,0,Inf,0,,9920864
r_1252,putrescine transport,s_0802 + s_1389  -> s_0794 + s_1391 ,YLL028W or YOR273C,0,Inf,0,,11171066
r_1253,pyridoxine symport,s_0796 + s_1397  -> s_0794 + s_1396 ,YGL186C,0,Inf,0,,12649274
r_1254,pyruvate transport,s_0796 + s_1400  -> s_0794 + s_1399 ,YKL217W,0,Inf,0,,
r_1255,S-adenosyl-L-methionine transport,s_0796 + s_1418  -> s_0794 + s_1416 ,YPL274W,0,Inf,0,,
r_1256,S-adenosyl-L-methionine transport,s_1416  -> s_1419 ,YNL003C,0,Inf,0,,14609944
r_1257,S-methylmethionine permease,s_0796 + s_1425  -> s_0794 + s_1424 ,YLL061W,0,Inf,0,,
r_1258,sodium proton antiporter,s_0796 + s_1437  -> s_0794 + s_1438 ,YDR456W or YLR138W,0,Inf,0,,
r_1260,spermidine transport,s_0794 + s_1440  -> s_0796 + s_1439 ,YBR132C or YHL016C or YKR039W or YLL028W or YOR273C or YPL274W,0,Inf,0,,17218313; 9920864
r_1261,spermidine transport,s_0802 + s_1439  -> s_0794 + s_1441 ,YLL028W or YOR273C,0,Inf,0,,11171066
r_1262,spermine transport,s_0794 + s_1443  -> s_0796 + s_1442 ,YGR138C or YLL028W or YOR273C or YPR156C,0,Inf,0,,9920864
r_1263,spermine transport,s_0802 + s_1442  -> s_0794 + s_1444 ,YGR138C or YLL028W or YOR273C or YPR156C,0,Inf,0,,11171066
r_1264,succinate transport,s_1326 + s_1458  -> s_1322 + s_1460 ,YLR348C,0,Inf,0,,
r_1265,succinate-fumarate transport,s_0727 + s_1458  -> s_0725 + s_1460 ,YJR095W,0,Inf,0,,9395087
r_1266,sulfate uniport,s_1468  -> s_1467 ,YBR294W or YLR092W,0,Inf,0,,
r_1267,sulfite transport,s_1469  -> s_1470 ,YPL092W,0,Inf,0,,10870099
r_1268,taurine transport,s_1471  -> s_1472 ,,0,Inf,0,,8293962
r_1269,thiamine diphosphate transport,s_1475  -> s_1477 ,YGR096W,0,Inf,0,,12411483
r_1270,thiamine transport,s_0796 + s_1490  -> s_0794 + s_1489 ,YLR237W or YOR071C or YOR192C,0,Inf,0,,
r_1271,UDPgalactose transport,s_1541  -> s_1542 ,YPL244C,0,Inf,0,,11284009
r_1272,uracil transport,s_0796 + s_1551  -> s_0794 + s_1550 ,YBR021W,0,Inf,0,,
r_1273,urea transport,2 s_0796 + s_1553  -> 2 s_0794 + s_1552 ,YHL016C,0,Inf,0,,
r_1274,uridine transport,s_0796 + s_1557  -> s_0794 + s_1556 ,YBL042C,0,Inf,0,,10827169
r_1275,UTP transport,s_0716 + s_0794 + s_1547 + s_1559  -> s_0714 + s_0799 + s_1545 + s_1560 ,YBR192W,0,Inf,0,,16844075
r_1276,UTP/UMP antiport,2 s_0794 + s_1547 + s_1559  -> 2 s_0799 + s_1545 + s_1560 ,YBR192W,0,Inf,0,,16194150
r_1277,water diffusion,s_0805  -> s_0803 ,YLL052C or YPR192W,0,Inf,0,,9765289
r_1278,zymosterol transport,s_1571  -> s_1568 ,YIL013C or YOR011W,0,Inf,0,,12077145
r_1657,arginine transport,s_0794 + s_0965  -> s_0799 + s_0967 ,YBR147W,0,Inf,0,,9874237
r_2034,pyruvate transport,s_0794 + s_1399  -> s_0799 + s_1401 ,(YGL080W and YGR243W) or (YGL080W and YHR162W),0,Inf,0,,22628558
r_2079,trehalose transporter,s_0794 + s_1520  -> s_0796 + s_1521 ,YGR289C,0,Inf,0,,10957961
r_2132,oxoglutarate/malate exchange,s_0066 + s_0182  -> s_0068 + s_0180 ,YOR222W or YPL134C,0,Inf,0,,16844075
r_2219,fatty acyl-CoA transport via ABC system (C12:0),s_0434 + s_0803 + s_1073  -> s_0394 + s_0794 + s_1076 + s_1322 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2220,fatty acyl-CoA transport via ABC system (C14:0),s_0434 + s_0803 + s_1176  -> s_0394 + s_0794 + s_1179 + s_1322 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2221,fatty acyl-CoA transport via ABC system (C16:0),s_0434 + s_0803 + s_1302  -> s_0394 + s_0794 + s_1305 + s_1322 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2222,fatty acyl-CoA transport via ABC system (C16:1),s_0434 + s_0803 + s_2877  -> s_0394 + s_0794 + s_1322 + s_2854 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2223,fatty acyl-CoA transport via ABC system (C18:0),s_0434 + s_0803 + s_1454  -> s_0394 + s_0794 + s_1322 + s_1457 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2224,fatty acyl-CoA transport via ABC system (C18:1),s_0434 + s_0803 + s_1262  -> s_0394 + s_0794 + s_1265 + s_1322 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2225,fatty acyl-CoA transport via ABC system (C20:0),s_0434 + s_0803 + s_2878  -> s_0394 + s_0794 + s_1322 + s_2879 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2226,fatty acyl-CoA transport via ABC system (C22:0),s_0434 + s_0803 + s_2880  -> s_0394 + s_0794 + s_1322 + s_2881 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2227,fatty acyl-CoA transport via ABC system (C24:0),s_0434 + s_0803 + s_1479  -> s_0394 + s_0794 + s_1322 + s_1482 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_2228,fatty acyl-CoA transport via ABC system (C26:0),s_0434 + s_0803 + s_0816  -> s_0394 + s_0794 + s_0819 + s_1322 ,YKL188C and YPL147W,0,Inf,0,sce02010  ABC transporters;sce04146  Peroxisome,17010456
r_1449,inositol-P-ceramide B' (C24) [Golgi] SLIME rxn,s_0907  -> 0.910264 s_0892 + 0.284483 s_3742 + 0.368644 s_3744 ,,0,Inf,0,,
r_1450,inositol-P-ceramide B' (C26) [Golgi] SLIME rxn,s_0910  -> 0.938317 s_0892 + 0.284483 s_3742 + 0.396698 s_3745 ,,0,Inf,0,,
r_1451,inositol-P-ceramide C (C24) [Golgi] SLIME rxn,s_0913  -> 0.926263 s_0892 + 0.284483 s_3742 + 0.368644 s_3744 ,,0,Inf,0,,
r_1452,inositol-P-ceramide C (C26) [Golgi] SLIME rxn,s_0916  -> 0.954317 s_0892 + 0.284483 s_3742 + 0.396698 s_3745 ,,0,Inf,0,,
r_1453,inositol-P-ceramide A (C24) [Golgi] SLIME rxn,s_0895  -> 0.894264 s_0892 + 0.284483 s_3742 + 0.368644 s_3744 ,,0,Inf,0,,
r_1454,inositol-P-ceramide A (C26) [Golgi] SLIME rxn,s_0898  -> 0.922318 s_0892 + 0.284483 s_3742 + 0.396698 s_3745 ,,0,Inf,0,,
r_1455,inositol-P-ceramide B (C24) [Golgi] SLIME rxn,s_0901  -> 0.910264 s_0892 + 0.284483 s_3742 + 0.368644 s_3744 ,,0,Inf,0,,
r_1456,inositol-P-ceramide B (C26) [Golgi] SLIME rxn,s_0904  -> 0.938317 s_0892 + 0.284483 s_3742 + 0.396698 s_3745 ,,0,Inf,0,,
